start logging time:	2022-03-27 22:18:36
gpus: 0
The number of trainable parameters: 8359916
Begin to train....
------------------------------------------------------------------------------------------
Epoch id:1, Training phase, Start time:2022-03-27 22:18:38
Epoch:1, Iter:90, Average loss:0.8757, Time: 887ms/batch
Epoch:1, Iter:91, Average loss:0.8750, Time: 886ms/batch
Epoch:1, Iter:92, Average loss:0.8722, Time: 885ms/batch
Epoch:1, Iter:93, Average loss:0.8712, Time: 884ms/batch
Epoch:1, Iter:94, Average loss:0.8682, Time: 883ms/batch
Epoch:1, Iter:95, Average loss:0.8663, Time: 882ms/batch
Epoch:1, Iter:96, Average loss:0.8654, Time: 881ms/batch
Epoch:1, Iter:97, Average loss:0.8627, Time: 880ms/batch
Epoch:1, Iter:98, Average loss:0.8603, Time: 879ms/batch
Epoch:1, Iter:99, Average loss:0.8590, Time: 878ms/batch
Epoch:1, Iter:100, Average loss:0.8581, Time: 877ms/batch
Epoch:1, Iter:101, Average loss:0.8563, Time: 876ms/batch
Epoch:1, Iter:102, Average loss:0.8552, Time: 875ms/batch
Epoch:1, Iter:103, Average loss:0.8533, Time: 875ms/batch
Epoch:1, Iter:104, Average loss:0.8537, Time: 874ms/batch
Epoch:1, Iter:105, Average loss:0.8533, Time: 873ms/batch
Epoch:1, Iter:106, Average loss:0.8534, Time: 872ms/batch
Epoch:1, Iter:107, Average loss:0.8497, Time: 871ms/batch
Epoch:1, Iter:108, Average loss:0.8479, Time: 871ms/batch
Epoch:1, Iter:109, Average loss:0.8469, Time: 870ms/batch
Epoch:1, Iter:110, Average loss:0.8465, Time: 869ms/batch
Epoch:1, Iter:111, Average loss:0.8461, Time: 869ms/batch
Epoch:1, Iter:112, Average loss:0.8442, Time: 869ms/batch
Epoch:1, Iter:113, Average loss:0.8423, Time: 868ms/batch
Epoch:1, Iter:114, Average loss:0.8412, Time: 868ms/batch
Epoch:1, Iter:115, Average loss:0.8398, Time: 868ms/batch
Epoch:1, Iter:116, Average loss:0.8399, Time: 868ms/batch
Epoch:1, Iter:117, Average loss:0.8382, Time: 867ms/batch
Epoch:1, Iter:118, Average loss:0.8365, Time: 868ms/batch
Epoch:1, Iter:119, Average loss:0.8362, Time: 869ms/batch
Epoch:1, Iter:120, Average loss:0.8344, Time: 870ms/batch
Epoch:1, Iter:121, Average loss:0.8329, Time: 869ms/batch
Epoch:1, Iter:122, Average loss:0.8308, Time: 868ms/batch
